,起飛時間(出發),起飛地點(出發),抵達時間(出發),抵達地點(出發),起飛時間(回程),起飛地點(回程),抵達時間(回程),抵達地點(回程),航空公司,購買網站,一人價格(TWD),兩人總價(TWD),買票去！
11,04:10,TPE,07:55,KIX,18:30,KIX,09:45,TPE,台灣虎航、廈門航空,Trip.com,12083,24166,https://travel.line.me//flights/772241ed55e5c7fa1b045bf4295bac05?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
12,02:00,TPE,16:00,KIX,12:00,KIX,00:15,TPE,德威航空,ezTravel 易遊網,12428,24856,https://travel.line.me//flights/a36f4396ef11ecb5ca324ce996e5b6a7?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
13,02:00,TPE,16:00,KIX,23:25,KIX,01:25,TPE,德威航空、樂桃航空,Trip.com,12719,25438,https://travel.line.me//flights/d03576b4c4d881cdb109ecc19a5d5b9a?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
14,10:45,TPE,14:35,KIX,18:30,KIX,09:45,TPE,樂桃航空、廈門航空,Trip.com,12762,25524,https://travel.line.me//flights/d2948e15b329a42cbbde9fc6e04e0737?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
15,02:15,TPE,06:00,KIX,17:40,KIX,11:30,TPE,樂桃航空、香港航空,Trip.com,12770,25540,https://travel.line.me//flights/45a63e8c81bdcd3490cd7cf9c8f364ab?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
16,02:00,TPE,16:00,KIX,11:35,KIX,13:20,TPE,德威航空、馬印航空,Trip.com,12783,25566,https://travel.line.me//flights/dc1f0e6f169d94f187e4bb2c47d3c0cb?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
17,21:20,TPE,08:15,KIX,17:40,KIX,14:40,TPE,香港航空,東南旅遊,12747,25494,https://travel.line.me//flights/a1228e7328b573bea77a5765b98a07cf?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
18,21:20,TPE,16:40,KIX,17:40,KIX,14:40,TPE,香港航空,東南旅遊,12747,25494,https://travel.line.me//flights/4645cc6475dedcee416ed631d2cee16d?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
19,12:30,TPE,08:15,KIX,17:40,KIX,14:40,TPE,香港航空,東南旅遊,12747,25494,https://travel.line.me//flights/00c56db48f2e72c4b6c87dd33481dfaa?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
20,21:20,TPE,19:35,KIX,17:40,KIX,14:40,TPE,香港航空,東南旅遊,12747,25494,https://travel.line.me//flights/0727a5c85c65c6e54d460709a750d08c?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
21,12:30,TPE,16:40,KIX,17:40,KIX,14:40,TPE,香港航空,東南旅遊,12747,25494,https://travel.line.me//flights/f7bb6395256c8e54c4861e0a95e482e5?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
22,02:00,TPE,16:00,KIX,17:55,KIX,00:15,TPE,德威航空,Trip.com,12929,25858,https://travel.line.me//flights/338b64c8f5f8c42bdebd5c87865eae98?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
23,02:15,TPE,06:00,KIX,08:55,KIX,10:50,TPE,樂桃航空、台灣虎航,ezfly 易飛網,12866,25732,https://travel.line.me//flights/c56def3bd5e75f0d634ff6d37563bb80?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
24,02:40,TPE,11:40,KIX,18:30,KIX,09:45,TPE,捷星日本航空、廈門航空,Trip.com,12958,25916,https://travel.line.me//flights/d1b93890f29760fcfc883e0708961246?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
25,02:15,TPE,06:00,KIX,23:25,KIX,01:25,TPE,樂桃航空,ezfly 易飛網,12937,25874,https://travel.line.me//flights/41492714e26e3b78be7059f188e4254c?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
26,19:45,TSA,17:30,KIX,23:25,KIX,01:25,TPE,廈門航空、樂桃航空,Trip.com,13038,26076,https://travel.line.me//flights/be3f501366244221a5ca84e175bf7f44?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
27,02:15,TPE,06:00,KIX,12:00,KIX,00:15,TPE,樂桃航空、德威航空,Trip.com,13077,26154,https://travel.line.me//flights/2b3f012f0202c7ced77d6f020926a1fa?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
28,19:45,TSA,17:30,KIX,11:35,KIX,13:20,TPE,廈門航空、馬印航空,Trip.com,13102,26204,https://travel.line.me//flights/b5a06efc0245dcb6e9f4ebddb46e9cb1?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
29,02:00,TPE,16:00,KIX,08:55,KIX,10:50,TPE,德威航空、台灣虎航,Trip.com,13120,26240,https://travel.line.me//flights/cb515a2cd17c5706dcbef2b6fb366d0c?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
30,04:10,TPE,07:55,KIX,17:40,KIX,11:30,TPE,台灣虎航、香港航空,Trip.com,13403,26806,https://travel.line.me//flights/44ebe7b29915df95ce5635769d45e62c?roundType=1&cabinClass=1&numOfAdult=2&numOfChildren=0&numOfBaby=0&linePointsRebateOnly=1&departureAirports=&departureCities=TPE&departureDates=1694390400000&arrivalAirports=&arrivalCities=OSA&departureAirports=&departureCities=OSA&departureDates=1694822400000&arrivalAirports=&arrivalCities=TPE
